pdf_id,pdf_original_website_link
1442,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1TOTgxNzIwMDYxNy5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTEyLzA3LzIwMTcmc3Bhc3NwaHJhc2U9MDMwOTI0MDI0NjMzJm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1OJmludGVyZmFjZT0=
1490,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE5LyZmbmFtZT1DT01TMzU4MTcxNTAzMTkucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0xOC8wMy8yMDE5JnNwYXNzcGhyYXNlPTAzMDkyNDAxNDcwOSZuY2l0YXRpb249MjAxOTpCSEMtT1M6NjcyMyZzbWNpdGF0aW9uPSZkaWdjZXJ0ZmxnPU4maW50ZXJmYWNlPQ==
1491,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1DT01TMzU4MTcyNjA5MTcucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0wOS8wMS8yMDE4JnNwYXNzcGhyYXNlPTAzMDkyNDAxNDcwOSZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
1492,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1DT01TMzU4MTcyOTA4MTcucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0yMi8wOS8yMDE3JnNwYXNzcGhyYXNlPTAzMDkyNDAxNDcwOSZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
2142,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1TMTIwMTcwNjAzMTcucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0wOC8wMy8yMDE3JnNwYXNzcGhyYXNlPTAzMDkyNDAyNTE1NyZuY2l0YXRpb249MjAxNzpCSEMtT1M6MjcxOCZzbWNpdGF0aW9uPSZkaWdjZXJ0ZmxnPU4maW50ZXJmYWNlPQ==
2476,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDI0LyZmbmFtZT0yNzU3MDAwMDc4ODIwMTdfMi5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTIyLzAxLzIwMjQmc3Bhc3NwaHJhc2U9MDMwOTI0MDIwNTAxJm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1ZJmludGVyZmFjZT1P
2477,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE4LyZmbmFtZT1DT01TNTEzMTcyNDA5MTgucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0yNC8wOS8yMDE4JnNwYXNzcGhyYXNlPTAzMDkyNDAyMDUwMSZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
3044,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1TMTkzMTcyNzA2MTcucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0wNi8wNy8yMDE3JnNwYXNzcGhyYXNlPTAzMDkyNDAyNTgwNiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
3122,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDI0LyZmbmFtZT0yNTA0MDAwMDQ0MjIwMTdfNS5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTI2LzA4LzIwMjQmc3Bhc3NwaHJhc2U9MDMwOTI0MDMwMTM0Jm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1ZJmludGVyZmFjZT1P
3123,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE5LyZmbmFtZT1TMjEyMTcwOTA4MTkucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0yMC8wOC8yMDE5JnNwYXNzcGhyYXNlPTAzMDkyNDAzMDEzNCZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
